quantile,good_fraction,extra_delay,age_mode,policy,seed,wAoI,age_mae,age_bias,p95_slot_aoi,p99_slot_aoi,cvar95_slot_aoi,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,13,418.26511111111114,5.121935440179177,-1.1630147308532333,48.0,83.0,68.35481481481482,0.3982775268928378,23.99583297252698,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,14,400.6108888888889,5.037333581119798,-0.9857598614450037,47.0,80.0,65.72592592592592,0.3969246374445283,23.998932098053537,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,15,409.3057777777778,5.062594878273247,-1.0219689576471809,47.0,84.0,68.10222222222222,0.40253688679054245,23.999024980401416,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,16,417.7191111111111,5.126005513454009,-1.0539523762562237,47.0,83.0,67.22111111111111,0.4006397038624883,23.998312031477695,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,17,409.9002222222222,5.068098688006431,-1.1920909224214422,46.0,82.0,66.54666666666667,0.39709338780085063,23.995550568690856,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,18,416.1142222222222,5.061088891752289,-1.049823046126166,48.0,84.0,69.1362962962963,0.3953165033382348,23.996845500139468,0.4053333333333334,True,True
0.25,0.7497621313035204,8,expected,Expected-AoI Bayes-Safe,19,419.1688888888889,5.10762347400801,-1.1578424130454286,47.0,84.0,68.5111111111111,0.39893607161168704,23.997664751644635,0.4053333333333334,True,True
0.25,0.7497621313035204,8,perfect,Perfect-AoI Bayes-Safe,0,389.73155555555553,0.0,0.0,43.0,77.0,62.562592592592594,0.3619407808484104,23.99897378805749,0.4053333333333334,True,True
0.25,0.7497621313035204,8,perfect,Perfect-AoI Bayes-Safe,1,383.46733333333333,0.0,0.0,45.0,79.0,64.99444444444444,0.4010063721773887,23.99970020326989,0.4053333333333334,True,True
0.25,0.7497621313035204,8,perfect,Perfect-AoI Bayes-Safe,2,394.77377777777775,0.0,0.0,43.0,81.0,64.79,0.3966229081040778,23.999110232249695,0.4053333333333334,True,True
0.25,0.7497621313035204,8,perfect,Perfect-AoI Bayes-Safe,3,402.04133333333334,0.0,0.0,45.0,79.0,64.26629629629629,0.38176340469156217,23.99522582171308,0.4053333333333334,True,True
0.25,0.7497621313035204,8,perfect,Perfect-AoI Bayes-Safe,4,388.40555555555557,0.0,0.0,41.0,74.0,60.574814814814815,0.39123744543563443,23.994038582469756,0.4053333333333334,True,True
0.25,0.7497621313035204,8,perfect,Perfect-AoI Bayes-Safe,5,412.96933333333334,0.0,0.0,44.0,79.0,63.888888888888886,0.38716497230398866,23.99958431642578,0.4053333333333334,True,True
0.25,0.7497621313035204,8,perfect,Perfect-AoI Bayes-Safe,6,399.7775555555556,0.0,0.0,43.0,77.0,62.87851851851852,0.38824999643641545,23.99754517553899,0.4053333333333334,True,True
0.25,0.7497621313035204,8,perfect,Perfect-AoI Bayes-Safe,7,393.55955555555556,0.0,0.0,43.0,76.0,62.59481481481482,0.39318900150581765,23.996007850010386,0.4053333333333334,True,True
0.25,0.7497621313035204,8,perfect,Perfect-AoI Bayes-Safe,8,394.95577777777777,0.0,0.0,43.0,79.0,63.41148148148148,0.39919499501871064,23.999840338281338,0.4053333333333334,True,True
0.25,0.7497621313035204,8,perfect,Perfect-AoI Bayes-Safe,9,392.09933333333333,0.0,0.0,44.0,79.0,64.12962962962963,0.39009210155188195,23.99858880274197,0.4053333333333334,True,True
0.25,0.7497621313035204,8,perfect,Perfect-AoI Bayes-Safe,10,404.4491111111111,0.0,0.0,44.0,81.0,65.8662962962963,0.38744328553356755,23.991862877451492,0.4053333333333334,True,True
0.25,0.7497621313035204,8,perfect,Perfect-AoI Bayes-Safe,11,381.6122222222222,0.0,0.0,42.0,78.0,62.64037037037037,0.39872903826268385,23.990833079090873,0.4053333333333334,True,True
0.25,0.7497621313035204,8,perfect,Perfect-AoI Bayes-Safe,12,385.402,0.0,0.0,41.0,74.0,60.41037037037037,0.3978357687171108,23.994992267213682,0.4053333333333334,True,True
