policy,extra_delay,seed,uav,pi_los,pth,mean_aoi,avg_power,service_rate,max_queue
FreshSky-Safe,2,18,3,0.95,0.3377909827,4.578918919,0.08481292512,0.2127027027,0.3377909827
FreshSky-Safe,2,18,4,0.8064515181,0.5254308787,6.428918919,0.1320677614,0.1789189189,1.278016151
FreshSky-Safe,2,18,5,0.2889292384,1.582364629,15.80324324,0.3831888399,0.06324324324,23.8957773
FreshSky-Safe,2,18,6,0.86964094,0.451552802,5.748108108,0.120454761,0.1883783784,1.121739228
FreshSky-Safe,2,18,7,0.95,0.2372894534,4.591081081,0.06066914132,0.2118918919,0.2372894534
FreshSky-Safe,2,18,8,0.4229897239,1.10910177,11.12432432,0.3180424265,0.09783783784,23.76442923
FreshSky-Safe,2,18,9,0.9113191376,0.3983676074,4.574324324,0.09937656802,0.2048648649,0.3983676074
FreshSky-Safe,2,18,10,0.93510967,0.3641087485,5.444324324,0.0946682746,0.2013513514,0.3641087485
FreshSky-Safe,2,18,11,0.8418183031,0.4846132827,6.427027027,0.1290119145,0.1894594595,2.092265654
FreshSky-Safe,2,19,0,0.8339118425,0.4938172966,5.952432432,0.1294602102,0.1843243243,1.244355669
FreshSky-Safe,2,19,1,0.4218873338,1.111838862,12.69918919,0.2875756192,0.08864864865,16.73148814
FreshSky-Safe,2,19,2,0.3658373363,1.270411673,14.3872973,0.3333972255,0.07621621622,23.90857739
FreshSky-Safe,2,19,3,0.3670076204,1.266646367,11.72783784,0.3563726672,0.09108108108,23.93274466
FreshSky-Safe,2,19,4,0.481511622,0.9794527448,10.91837838,0.2546577137,0.1021621622,13.86577137
FreshSky-Safe,2,19,5,0.1930715746,2.342239302,22.04972973,0.398813719,0.03891891892,23.99874953
FreshSky-Safe,2,19,6,0.2120595117,2.1308523,28.73756757,0.3887365682,0.03216216216,23.99807256
FreshSky-Safe,2,19,7,0.3057773787,1.500722279,15.0,0.3715301642,0.06432432432,23.99606308
FreshSky-Safe,2,19,8,0.5446939528,0.8655191693,9.677297297,0.2528719519,0.1256756757,12.03797923
FreshSky-Safe,2,19,9,0.4653449839,1.012509865,9.765675676,0.2897967424,0.1145945946,13.92525648
FreshSky-Safe,2,19,10,0.3623629999,1.281724896,13.6172973,0.3356733578,0.07513513514,23.81519666
